"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8527","should place a bank transfer gift order with an empty gift message","chrome","2026-08-20","passed","2026-08-20","Gift checkout > Gift order placement","checkout-advanced.spec.ts","",""
"","7258","should send a password reset email message","chrome","2026-08-20","passed","2026-08-20","Customer login","auth.spec.ts","",""
"","17331","should remove items and show an empty cart","chrome","2026-08-20","failed","2026-08-20","Cart","cart.spec.ts","",""
"","2361","should open the wishlist drawer from the header icon","chrome","2026-08-20","passed","2026-08-20","Desktop main navigation","main-nav.spec.ts","",""
"","18209","should convert a wishlist item into a cart line via PDP","chrome","2026-08-20","failed","2026-08-20","Wishlist","wishlist.spec.ts","",""
"","17618","should navigate from empty cart Shop now","chrome","2026-08-20","failed","2026-08-20","Cart","cart.spec.ts","",""
"","2709","should navigate to Men from the top-level nav","chrome","2026-08-20","passed","2026-08-20","Desktop main navigation","main-nav.spec.ts","",""
"","2038","should show password rules when password is missing","chrome","2026-08-20","passed","2026-08-20","Customer register","auth.spec.ts","",""
"","4","should place a successful MasterCard order via PayHere sandbox","chrome","2026-08-20","skipped","2026-08-20","Checkout > PayHere card payments","checkout.spec.ts","",""
"","1481","should require a color before sizes are available","chrome","2026-08-20","passed","2026-08-20","Color and stock PDP","catalog-edges.spec.ts","",""
"","3076","should reject an unknown email with an error toast","chrome","2026-08-20","passed","2026-08-20","Customer login","auth.spec.ts","",""
"","4826","should start PayHere for a gift order paid by card","chrome","2026-08-20","passed","2026-08-20","Gift checkout > Gift order placement","checkout-advanced.spec.ts","",""
"","2757","should change the active slide when next is clicked","chrome","2026-08-20","passed","2026-08-20","Carousel","home.spec.ts","",""
"","2124","should require a password when only email is entered","chrome","2026-08-20","passed","2026-08-20","Customer login","auth.spec.ts","",""
"","2873","should open Collections → Originals","chrome","2026-08-20","passed","2026-08-20","Desktop main navigation","main-nav.spec.ts","",""
"","7323","should accept a valid newsletter email","chrome","2026-08-20","passed","2026-08-20","Newsletter","home.spec.ts","",""
"","17306","should disable COD for gift orders while keeping card and bank available","chrome","2026-08-20","failed","2026-08-20","Gift checkout","checkout-advanced.spec.ts","",""
